"user","user_full_name","caption","link","image_source","latitude","longitude","result_type","time_date"
"cubangirly13","Cubangirly13","Tiered as Hell 😖. Need a Vacation ASAP.","http://instagram.com/p/g-c9NblfEn/","http://distilleryimage7.s3.amazonaws.com/1be4d10252a411e3a22a0e609b214a58_8.jpg","40.711099823","-74.013217413","instagram","2013-11-21 11:57:34"
"rrogan1028","Robert Rogan","Stay tuned for sponsor @rockinwellness on @afrosamurai11 #walkout shirt for @glory_ws #scny #glory12","http://instagram.com/p/g-bGElRuW2/","http://distilleryimage10.s3.amazonaws.com/d62a3d7052a111e389aa0e632b3228b2_8.jpg","40.710457892","-74.008199","instagram","2013-11-21 11:41:18"
"cubangirly13","Cubangirly13","#TBT. How funny do I look @juicycinn 😂😂😂😂😂😂 wanna be rider.......","http://instagram.com/p/g-azBEFfC6/","http://distilleryimage2.s3.amazonaws.com/791f200052a111e387ee1245c8458940_8.jpg","40.710254903","-74.013283504","instagram","2013-11-21 11:38:42"
"carlosferreira_","Carlos Ferreira","What's the first thing to do when coming to a big city? Make friends with the locals. #newyork #ny #usa #vscocam #vsco #squareready #wtc #squirrel #batterypark #mygirl","http://instagram.com/p/g-arZWROOt/","http://distilleryimage9.s3.amazonaws.com/53e95bde52a111e3afa11246c410fe9c_8.jpg","40.711960119","-74.017385944","instagram","2013-11-21 11:37:40"
"emmajboston","emmajboston","Good morning New York #theSunAlwaysGetsMoreSleepThanMe","http://instagram.com/p/g-ZqBQoSnx/","http://distilleryimage9.s3.amazonaws.com/14b0aa9a52a011e39f1312c430b05903_8.jpg","40.710275391","-74.006529121","instagram","2013-11-21 11:28:44"
"ivannamudra","ivannamudra","#usa #nyc #newyork #my #girl","http://instagram.com/p/g-Y1xcsIhc/","http://distilleryimage4.s3.amazonaws.com/1593fada529f11e3a0fb12e17bb388ef_8.jpg","40.705045","-74.018861167","instagram","2013-11-21 11:21:36"
"troutinnyc","Jamie DuMont","Fun with Phyllis, SF 1989","http://instagram.com/p/g-YYUxy07n/","http://distilleryimage3.s3.amazonaws.com/85ca09a8529e11e38ab3120655c42bad_8.jpg","40.707737593","-74.009809692","instagram","2013-11-21 11:17:35"
"jamesbaik","james@ateliernewyork.com","THE HOOK UP OF THE YEAR #PS4","http://instagram.com/p/g-XoabyLCn/","http://distilleryimage3.s3.amazonaws.com/9bd82938529d11e3ae8712f8e584c17a_8.jpg","40.708099519","-74.009899842","instagram","2013-11-21 11:11:02"
"aylamargrete","aylamargrete","#inspirationalquote ? #palahniuk","http://instagram.com/p/g-XAKHAac5/","http://distilleryimage5.s3.amazonaws.com/d74a285a529c11e3969a0ebd25b736fb_8.jpg","40.708979267","-74.013822258","instagram","2013-11-21 11:05:33"
"jessou26","Jessica Sulitzer - NYC 🎉🙈❤","Helloooo chatteysss  @jen_dance","http://instagram.com/p/g-Woz3n78U/","http://distilleryimage8.s3.amazonaws.com/65487a2c529c11e3ab6f0e5773f5d485_8.jpg","40.704842708","-74.00773284","instagram","2013-11-21 11:02:21"
"ebwit","Bonisha","@CUNTroversial_ http://t.co/FYspWmaLy2","403492917417115648","","40.6969332","-73.9829391","tweet","2013-11-21 11:59:42"
"ALWAYSCLOSINGIT","Marc","@AdamSchefter Adam Schefter height: 5'3","403492492206936064","","40.7139348","-73.97934863","tweet","2013-11-21 11:58:01"
"love_ridden","Shanan","When I get ready in the morning and you do that bullshit where you make a noise and roll over... #fu #youkeepmeupallnight","403492436343001089","","40.70723033","-74.00488823","tweet","2013-11-21 11:57:48"
"CHRISrules_","christopherRULES","yeah I eat cupcakes for free. (@ Billy's Bakery Tribeca - @billysbakerynyc) http://t.co/VZggHH0Caz","403492073799966720","","40.71795675","-74.00446415","tweet","2013-11-21 11:56:21"
"HeyyyItsMeKay","MeKayla Chalupa","Kansas City Royals ✌️💙⚾️ rt:“@HuffingtonPost: The real inspiration behind Lorde's ""Royals"" will surprise you http://t.co/q9rkCC01KF”","403492006498164738","","40.72024357","-73.99621228","tweet","2013-11-21 11:56:05"
"rakhipatel","Rakhi Patel","#306090 (at @Equinox w/ 3 others) http://t.co/7aqfDiPtuw","403491903054036992","","40.72983","-74.00692","tweet","2013-11-21 11:55:40"
